layer_name,layer_type,total_cycles,compute_cycles,memory_access_cycles,data_movement_cycles,compute_intensity,operation_weight,buffer_requirement,energy_cost,is_compute_intensive,is_memory_intensive,communication_cost,parallelization_factor,gmacs_per_cycle,compute_efficiency,memory_efficiency,total_gmacs,execution_cost_breakdown
layer_14,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_15,PAD,50,30,17,15,1.7647058823529411,50.0,48,75,True,False,2,0.5,0.02,60.0,80.0,1,"{'compute_cost': 60.0, 'memory_cost': 32, 'communication_cost': 2}"
layer_16,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_17,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_18,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_19,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_20,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_21,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_22,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_23,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_24,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_25,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_26,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_27,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_28,PAD,50,30,17,15,1.7647058823529411,50.0,48,75,True,False,2,0.5,0.02,60.0,80.0,1,"{'compute_cost': 60.0, 'memory_cost': 32, 'communication_cost': 2}"
layer_29,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_30,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_31,DEPTHWISE_CONV_2D,2000,1200,700,600,1.7142857142857142,2000.0,1536,3000,True,False,100,0.5,0.075,60.0,80.0,150,"{'compute_cost': 2400.0, 'memory_cost': 1024, 'communication_cost': 100}"
layer_32,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_33,MEAN,100,60,35,30,1.7142857142857142,100.0,96,150,True,False,5,0.5,0.05,60.0,80.0,5,"{'compute_cost': 120.0, 'memory_cost': 64, 'communication_cost': 5}"
layer_34,RESHAPE,40,24,14,12,1.7142857142857142,40.0,24,60,True,False,2,0.3,0.0,60.0,80.0,0,"{'compute_cost': 48.0, 'memory_cost': 16, 'communication_cost': 2}"
layer_35,CONV_2D,5000,3000,1750,1500,1.7142857142857142,5000.0,3072,7500,True,False,250,0.5,0.08,60.0,80.0,400,"{'compute_cost': 6000.0, 'memory_cost': 2048, 'communication_cost': 250}"
layer_36,RESHAPE,40,24,14,12,1.7142857142857142,40.0,24,60,True,False,2,0.3,0.0,60.0,80.0,0,"{'compute_cost': 48.0, 'memory_cost': 16, 'communication_cost': 2}"
layer_37,SOFTMAX,500,300,175,150,1.7142857142857142,500.0,384,750,True,False,25,0.4,0.08,60.0,80.0,40,"{'compute_cost': 600.0, 'memory_cost': 256, 'communication_cost': 25}"
layer_38,DEQUANTIZE,120,72,42,36,1.7142857142857142,120.0,96,180,True,False,6,0.5,0.05,60.0,80.0,6,"{'compute_cost': 144.0, 'memory_cost': 64, 'communication_cost': 6}"
